Name | Description | Default Value | Flags
citadel_event_indicator_dps_percent_low |  | 0.1 | devonly, cl
citadel_event_indicator_dps_percent_mid |  | 0.3 | devonly, cl
citadel_event_indicator_mitigation_high |  | 0.6 | devonly, cl
citadel_event_indicator_mitigation_low |  | 0.2 | devonly, cl
citadel_event_indicator_mitigation_mid |  | 0.5 | devonly, cl
citadel_event_timer_frequency_imminent |  | 6 | devonly, cl
citadel_event_timer_frequency_soon |  | 25 | devonly, cl
citadel_event_timer_max_distance_distance |  | 5000 | devonly, cl
citadel_event_timer_max_distance_scale |  | 10 | devonly, cl
citadel_event_timer_max_view_angle |  | 45 | devonly, cl
citadel_event_timer_min_distance_distance |  | 1000 | devonly, cl
citadel_event_timer_min_distance_scale |  | 1.5 | devonly, cl
citadel_event_timer_min_view_angle |  | 12 | devonly, cl
citadel_event_timer_scale_on_direct_look |  | 1.33 | devonly, cl
citadel_fake_comms_ban_timestamp |  | 0 | devonly, cl
citadel_fake_death_gold |  | false | devonly, cl
citadel_fake_low_pri_games_remaining |  | -1 | devonly, cl
citadel_fake_no_match_metadata |  | false | devonly, cl
citadel_fake_number_of_games_played |  | -1 | cl, release
citadel_fake_party_roster_usage |  | false | devonly, cl
citadel_fake_report_ban_timestamp |  | 0 | devonly, cl
citadel_fencer_lunge_debug_draw |  | false | devonly, cl
citadel_first_person | Enables first-person viewpoint | false | devonly, cl
citadel_force_subnav_options |  | false | devonly, cl
citadel_generator_minimap_icon_radius |  | 24 | devonly, cl
citadel_gold_flash_max_duration |  | 0.8 | devonly, cl
citadel_gold_flash_max_threshold |  | 500 | devonly, cl
citadel_gold_flash_med_threshold |  | 100 | devonly, cl
citadel_gold_flash_min_duration |  | 0.125 | devonly, cl
citadel_gold_flash_min_threshold |  | 30 | devonly, cl
citadel_gold_text_height_offset | How much higher should gold text show up. | 35 | devonly, cl
citadel_guided_bot_match_hint_time_mult | How much faster/slower to show hints in guided bot match mode | 0.25 | cl, release
citadel_healthbars_enabled |  | true | cl, release
citadel_hero_builds_universe |  |  | cl, a, release
citadel_hero_card_fake_party_member_count |  | -1 | devonly, cl
citadel_hero_challenge_status_fake_data | Shows fake data for hero challenge status | false | devonly, cl
citadel_hero_release_vote_debug_remaining_votes |  | -1 | devonly, cl
citadel_hero_roster | A comma separated list of hero IDs that hold the currently selected roster heroes |  | cl, a, release
citadel_hero_roster_banned | A comma separated list of hero IDs that hold the currently banned roster heroes |  | cl, a, release
citadel_hero_roster_high_priority | A comma separated list of hero IDs that hold the currently high priority roster heroes |  | cl, a, release
citadel_hero_roster_preferred | A comma separated list of hero IDs that hold the currently preferred roster heroes |  | cl, a, release
citadel_hero_roster_random | Is the hero roster set to random | false | cl, a, release
citadel_herolabs_schedule_override | Override the hero labs schedule we think is assigned to your client | 0 | devonly, cl
citadel_hide_botbrawl_after_brawl_wins |  | 2 | devonly, cl
citadel_hide_botbrawl_after_normal_wins |  | 5 | devonly, cl
citadel_hide_modifier_bars_on_left_hud |  | false | devonly, cl
citadel_hide_replay_hud |  | false | cl, release
citadel_hide_tutorial_after_brawl_wins |  | 2 | devonly, cl
citadel_hide_tutorial_after_normal_games |  | 5 | devonly, cl
citadel_hideout_enable_testing_tools |  | false | devonly, cl
citadel_hideout_exclusive_mode |  | true | devonly, cl
citadel_hideout_hero_id |  | 63 | cl, a, release
citadel_hideout_intro_dismiss_escape_only |  | false | devonly, cl
citadel_hideout_intro_version_seen |  | 0 | cl, a, release
citadel_hideout_spoof_connection_state |  | -1 | devonly, cl
citadel_hideout_use_lobby_server |  | true | devonly, cl
citadel_hint_system_disable | Set to disable hints | false | cl, release
citadel_hud_announcement_display_time_all_queued |  | 7 | devonly, cl
citadel_hud_announcement_display_time_max |  | 3 | devonly, cl
citadel_hud_announcement_force_single_levelup |  | false | devonly, cl
citadel_hud_build_category_max_height |  | 600 | devonly, cl
citadel_hud_build_category_min_height |  | 185 | devonly, cl
citadel_hud_build_category_min_width |  | 125 | devonly, cl
citadel_hud_chat_wheel |  | true | devonly, cl
citadel_hud_damage_counter_duration |  | 4 | devonly, cl
citadel_hud_exclusive_visible_id | When set, only show the panel with the corresponding id |  | cl, cheat
citadel_hud_heal_counter_duration |  | 4 | devonly, cl
